,CUSTOMER_ID,RECENCY,FIRST_PURCHASE,FREQUENCY,MONETARY
85,Cust85,13,62,9,12.22222222
86,Cust86,126,614,14,600
87,Cust87,12,615,43,374.4186047
88,Cust88,190,590,8,425
89,Cust89,531,531,1,50
90,Cust90,51,627,67,70.59701493
91,Cust91,389,561,2,200
92,Cust92,287,288,2,155
93,Cust93,1,629,86,79.88372093
94,Cust94,20,625,5,320
95,Cust95,15,114,25,11.6
96,Cust96,11,594,11,422.7272727
97,Cust97,322,498,13,36.92307692
98,Cust98,512,623,3,26.66666667
99,Cust99,14,629,10,29
100,Cust100,173,609,11,33.63636364
101,Cust101,45,597,21,100
102,Cust102,4,617,35,374.2857143
103,Cust103,2,628,363,101.9008264
104,Cust104,233,582,11,35.45454545
105,Cust105,6,613,73,87.94520548
106,Cust106,19,560,73,89.04109589
107,Cust107,583,583,1,100
108,Cust108,212,601,2,75
109,Cust109,12,550,49,33.06122449
110,Cust110,2,607,52,80.57692308
111,Cust111,40,620,18,176.6666667
112,Cust112,387,453,8,91.25
113,Cust113,1,545,59,30.50847458
114,Cust114,167,611,20,442.5
115,Cust115,260,541,6,141.6666667
116,Cust116,43,589,22,160.9090909
117,Cust117,114,114,1,150
118,Cust118,21,438,7,10
119,Cust119,3,105,8,10
120,Cust120,0,113,80,13.75
121,Cust121,6,114,10,25
122,Cust122,1,114,65,33.53846154
123,Cust123,114,114,1,10
124,Cust124,26,114,41,16.34146341
125,Cust125,1,113,54,23.33333333
126,Cust126,14,14,1,10
127,Cust127,3,24,3,30
128,Cust128,86,116,24,15
129,Cust129,20,619,78,185.8974359
130,Cust130,86,191,3,50
131,Cust131,2,117,25,13.2
132,Cust132,1,113,24,10.41666667
133,Cust133,1,113,42,11.19047619
134,Cust134,6,61,5,60
135,Cust135,1,495,103,10.87378641
136,Cust136,14,116,23,10.86956522
137,Cust137,462,462,1,20
138,Cust138,5,609,34,235.2941176
139,Cust139,23,117,9,10
140,Cust140,12,629,55,56.90909091
141,Cust141,471,471,1,100
142,Cust142,55,106,7,10
143,Cust143,27,562,18,51.11111111
144,Cust144,117,117,2,100
145,Cust145,117,117,1,10
146,Cust146,25,114,10,18
147,Cust147,75,116,25,10.4
148,Cust148,17,117,7,12.85714286
149,Cust149,43,108,7,10
150,Cust150,27,625,27,785.1851852
151,Cust151,27,548,7,200
152,Cust152,2,627,126,128.5714286
153,Cust153,2,112,62,10.16129032
154,Cust154,582,622,2,600
155,Cust155,33,117,15,11.33333333
156,Cust156,84,117,4,10
157,Cust157,4,118,19,10
158,Cust158,12,115,29,17.5862069
159,Cust159,33,605,24,385.4166667
160,Cust160,1,117,9,15.55555556
161,Cust161,367,615,164,10.24390244
162,Cust162,28,120,8,61.25
163,Cust163,405,405,1,20
